tank_id,date,level_pct,turbidity_ntu,tds_ppm,ph,bacterial_risk_index,usage_lpd,overflow_events
TK-006,2026-01-01,61.9,5.8,250,7.21,32.8,5427,2
TK-006,2026-01-31,86.8,2.8,197,6.94,14.5,6744,1
TK-006,2026-03-02,63.5,0.7,204,7.17,20.2,1600,0
TK-006,2026-04-01,69.9,2.2,231,7.33,33.2,13556,1
TK-006,2026-05-01,72.6,3.9,334,7.32,37.4,10729,1
TK-006,2026-05-31,57.2,2.6,421,7.62,21.1,6538,1
TK-006,2026-06-30,70.7,2.9,435,5.94,15.6,5643,0
TK-006,2026-07-30,47.7,1.9,331,7.45,24.3,5022,0
TK-006,2026-08-29,64.0,4.9,262,6.54,36.4,7046,0
TK-006,2026-09-28,64.8,4.4,256,6.94,24.8,4560,0
TK-006,2026-10-28,36.9,4.3,318,6.49,26.6,10420,1
TK-006,2026-11-27,38.1,1.9,481,7.08,39.5,4749,0
TK-007,2026-01-01,44.8,4.0,355,7.2,25.2,8295,0
TK-007,2026-01-31,79.0,4.5,204,5.94,43.0,10569,0
TK-007,2026-03-02,46.6,0.5,358,7.37,55.0,8890,2
TK-007,2026-04-01,48.9,3.3,323,6.49,58.7,12062,1
TK-007,2026-05-01,85.4,1.9,426,7.24,34.6,10724,1
TK-007,2026-05-31,78.3,4.3,380,6.15,29.3,6209,0
TK-007,2026-06-30,42.0,5.8,505,7.56,31.8,10976,0
TK-007,2026-07-30,68.7,1.7,385,6.98,8.5,7472,0
TK-007,2026-08-29,63.6,6.0,430,6.96,31.7,7710,0
TK-007,2026-09-28,45.5,3.1,282,6.39,35.7,8578,1
TK-007,2026-10-28,32.8,3.1,439,7.43,43.4,7697,1
TK-007,2026-11-27,45.5,3.8,384,7.53,44.5,7269,1
TK-008,2026-01-01,42.6,2.8,369,6.86,19.3,8232,0
TK-008,2026-01-31,53.7,3.8,313,7.06,32.1,4751,0
TK-008,2026-03-02,56.3,5.5,245,6.0,2.0,7672,1
TK-008,2026-04-01,62.9,5.1,109,7.13,51.4,4780,0
TK-008,2026-05-01,58.2,2.2,269,6.8,49.4,12193,0
TK-008,2026-05-31,98.0,3.4,507,6.91,30.0,8513,0
TK-008,2026-06-30,98.0,4.6,286,7.39,22.6,6375,0
TK-008,2026-07-30,65.6,3.7,351,7.1,34.4,2757,0
TK-008,2026-08-29,77.0,1.8,220,6.92,29.3,5866,0
TK-008,2026-09-28,40.8,2.7,297,6.93,32.2,5080,0
TK-008,2026-10-28,78.0,3.4,179,6.07,27.8,7047,0
TK-008,2026-11-27,64.5,3.6,435,6.45,10.4,4866,1
TK-009,2026-01-01,70.2,5.2,311,5.82,2.4,5517,0
TK-009,2026-01-31,57.6,3.4,321,7.42,17.9,5444,1
TK-009,2026-03-02,73.6,1.0,385,7.0,25.8,11570,1
TK-009,2026-04-01,98.0,3.0,235,6.98,11.9,5720,2
TK-009,2026-05-01,72.1,4.1,294,7.39,45.4,11190,1
TK-009,2026-05-31,89.5,0.5,321,6.56,29.8,6171,1
TK-009,2026-06-30,62.0,6.1,334,7.14,24.5,7789,0
TK-009,2026-07-30,73.1,5.0,498,7.09,36.8,4722,0
TK-009,2026-08-29,63.4,4.7,427,7.05,41.3,8826,0
TK-009,2026-09-28,70.2,2.8,380,5.8,33.7,1600,0
TK-009,2026-10-28,34.0,4.0,392,6.43,17.3,11026,0
TK-009,2026-11-27,98.0,3.3,386,7.68,30.0,5094,1
TK-010,2026-01-01,63.0,3.2,227,6.83,16.9,9910,1
TK-010,2026-01-31,59.9,3.1,370,7.23,13.0,4996,0
TK-010,2026-03-02,84.9,2.7,222,7.15,35.0,3773,1
TK-010,2026-04-01,78.2,3.9,406,6.32,33.0,6843,0
TK-010,2026-05-01,56.3,4.6,483,7.76,47.7,7325,2
TK-010,2026-05-31,78.8,3.5,361,7.32,27.1,5776,1
TK-010,2026-06-30,57.5,4.3,350,7.1,38.1,6662,1
TK-010,2026-07-30,71.8,1.4,479,6.72,3.2,4987,1
TK-010,2026-08-29,46.6,3.4,325,6.8,37.3,8449,2
TK-010,2026-09-28,72.4,4.2,160,6.79,2.0,7690,2
TK-010,2026-10-28,64.9,4.9,456,7.04,20.5,8812,1
TK-010,2026-11-27,65.0,4.8,299,7.31,38.2,5213,0
TK-011,2026-01-01,82.5,4.3,359,6.61,15.1,6255,2
TK-011,2026-01-31,47.8,4.0,238,6.86,29.6,13712,2
TK-011,2026-03-02,40.2,5.5,363,7.14,29.8,8711,0
TK-011,2026-04-01,91.2,2.6,451,6.66,27.1,4920,0
TK-011,2026-05-01,73.2,5.5,343,6.86,11.3,7026,0
TK-011,2026-05-31,48.6,3.6,468,8.2,19.2,11188,2
TK-011,2026-06-30,69.4,3.1,388,6.98,29.7,6579,0
TK-011,2026-07-30,37.2,4.3,325,6.68,28.1,9587,0
TK-011,2026-08-29,68.2,2.3,460,7.66,35.4,10034,0
TK-011,2026-09-28,85.3,4.2,403,7.18,11.5,9351,0
TK-011,2026-10-28,40.6,2.1,467,7.33,50.3,6920,0
TK-011,2026-11-27,60.7,3.5,357,7.46,22.6,8480,0
TK-012,2026-01-01,47.2,4.0,350,6.61,24.5,7139,0
TK-012,2026-01-31,96.9,3.2,328,6.01,14.6,6942,1
TK-012,2026-03-02,52.7,5.4,335,7.53,28.9,7693,0
TK-012,2026-04-01,65.1,5.9,141,6.05,19.9,7636,1
TK-012,2026-05-01,77.4,4.0,315,7.41,43.5,8060,1
TK-012,2026-05-31,69.9,2.5,412,7.0,28.0,11282,2
TK-012,2026-06-30,25.0,1.2,243,6.79,24.2,3831,0
TK-012,2026-07-30,49.5,7.0,512,6.76,22.5,4726,1
TK-012,2026-08-29,30.7,3.1,260,6.91,4.0,5695,0
TK-012,2026-09-28,71.6,3.9,231,7.33,16.0,9182,0
TK-012,2026-10-28,64.8,1.2,321,7.11,37.2,7247,0
TK-012,2026-11-27,83.1,2.9,417,7.82,57.4,4530,0
TK-013,2026-01-01,48.3,5.5,254,6.35,20.7,8650,0
TK-013,2026-01-31,53.3,2.3,285,6.55,62.2,8343,0
TK-013,2026-03-02,81.0,2.6,333,6.63,2.0,4154,0
TK-013,2026-04-01,25.0,1.5,469,6.93,47.4,8627,0
TK-013,2026-05-01,79.1,1.9,397,7.28,19.4,8998,2
TK-013,2026-05-31,55.1,1.6,243,6.99,32.9,5618,1
TK-013,2026-06-30,65.5,4.2,405,7.65,47.2,5096,1
TK-013,2026-07-30,55.4,4.9,356,6.76,2.0,7171,0
TK-013,2026-08-29,36.9,4.8,486,6.59,32.5,5786,0
TK-013,2026-09-28,78.9,3.2,506,6.73,43.0,7843,0
TK-013,2026-10-28,79.3,2.6,345,6.9,15.5,9255,0
TK-013,2026-11-27,75.7,5.6,480,6.78,33.6,6040,1
TK-014,2026-01-01,65.4,2.4,495,7.11,24.7,10584,0
TK-014,2026-01-31,28.7,4.5,355,7.06,8.1,7541,2
TK-014,2026-03-02,98.0,4.5,365,6.75,22.1,2277,0
TK-014,2026-04-01,80.2,0.9,290,6.43,13.5,7733,1
TK-014,2026-05-01,27.5,4.2,417,6.84,2.0,5108,2
TK-014,2026-05-31,25.0,2.8,243,7.31,17.9,8609,0
TK-014,2026-06-30,75.2,6.1,331,7.12,5.7,10576,1
TK-014,2026-07-30,54.9,3.3,209,7.05,42.5,8332,0
TK-014,2026-08-29,36.4,3.1,416,6.1,11.9,9791,0
TK-014,2026-09-28,72.4,6.1,392,7.25,68.7,7065,0
TK-014,2026-10-28,50.6,3.9,389,6.71,12.5,13374,1
TK-014,2026-11-27,51.8,4.7,340,6.84,36.4,4370,0
TK-015,2026-01-01,71.3,6.2,391,6.78,20.4,6574,1
TK-015,2026-01-31,58.2,4.7,194,7.34,22.3,8542,0
TK-015,2026-03-02,44.7,5.3,462,7.38,5.3,9672,1
TK-015,2026-04-01,36.1,3.3,382,7.2,30.7,8328,2
TK-015,2026-05-01,91.5,5.1,100,6.81,25.5,3219,0
TK-015,2026-05-31,87.5,1.7,380,6.54,17.9,11293,0
TK-015,2026-06-30,55.2,4.0,181,7.79,37.0,7143,1
TK-015,2026-07-30,39.6,5.1,320,6.86,20.6,6148,2
TK-015,2026-08-29,77.5,3.7,408,6.95,35.7,6552,2
TK-015,2026-09-28,36.8,5.2,473,6.57,61.4,10088,1
TK-015,2026-10-28,82.5,3.3,330,6.86,33.9,11102,0
TK-015,2026-11-27,48.6,4.5,432,7.24,39.2,6922,1
TK-016,2026-01-01,48.3,2.0,202,7.06,26.7,6500,0
TK-016,2026-01-31,42.5,5.0,290,7.11,7.1,11196,2
TK-016,2026-03-02,62.4,3.7,559,7.63,23.4,6116,1
TK-016,2026-04-01,74.2,3.1,314,7.61,26.3,13348,0
TK-016,2026-05-01,66.6,6.0,382,7.38,17.1,5465,1
TK-016,2026-05-31,82.8,3.4,234,6.34,6.6,3180,0
TK-016,2026-06-30,67.0,5.0,348,5.93,25.1,7193,1
TK-016,2026-07-30,38.8,2.7,503,7.15,36.4,7886,0
TK-016,2026-08-29,70.9,4.5,277,7.35,7.4,8420,0
TK-016,2026-09-28,53.9,3.3,293,6.47,22.7,4840,0
TK-016,2026-10-28,70.8,1.6,414,6.42,19.5,6038,0
TK-016,2026-11-27,70.9,3.0,394,6.0,27.4,12593,0
TK-017,2026-01-01,67.4,3.4,399,7.35,2.0,3394,1
TK-017,2026-01-31,52.1,5.3,321,6.08,9.0,1600,1
TK-017,2026-03-02,60.8,3.0,311,7.44,46.0,7174,1
TK-017,2026-04-01,76.1,4.1,377,7.39,10.5,12621,0
TK-017,2026-05-01,47.7,4.4,198,6.53,50.7,6947,0
TK-017,2026-05-31,69.3,3.1,472,6.84,2.0,5591,0
TK-017,2026-06-30,74.9,3.9,208,6.62,19.3,6686,0
TK-017,2026-07-30,53.7,2.2,419,7.31,25.8,6619,2
TK-017,2026-08-29,67.5,2.1,246,6.53,18.5,4691,1
TK-017,2026-09-28,78.1,0.9,352,6.85,33.1,7567,0
TK-017,2026-10-28,38.8,1.4,352,7.41,2.0,8464,0
TK-017,2026-11-27,62.2,4.1,286,6.9,3.7,1739,0
TK-018,2026-01-01,82.0,1.8,309,6.33,6.9,7165,1
TK-018,2026-01-31,71.8,4.0,378,7.06,51.7,4931,1
TK-018,2026-03-02,64.0,5.0,463,6.31,23.3,10995,0
TK-018,2026-04-01,68.5,3.0,315,7.08,24.2,7493,0
TK-018,2026-05-01,66.4,2.3,397,8.2,2.0,8410,0
TK-018,2026-05-31,75.4,3.4,418,7.48,30.9,10430,0
TK-018,2026-06-30,25.0,5.7,383,7.44,9.7,5523,1
TK-018,2026-07-30,64.7,3.7,447,6.16,42.6,7620,1
TK-018,2026-08-29,61.3,1.1,395,5.86,37.7,3869,0
TK-018,2026-09-28,62.9,5.1,333,6.64,20.4,10782,1
TK-018,2026-10-28,74.7,2.7,328,6.24,33.8,3200,0
TK-018,2026-11-27,67.3,6.9,250,6.9,55.0,10578,1
TK-019,2026-01-01,52.5,3.6,350,7.08,17.5,7376,1
TK-019,2026-01-31,67.4,4.0,329,6.22,42.8,8511,2
TK-019,2026-03-02,51.9,2.9,214,6.49,19.9,10671,0
TK-019,2026-04-01,76.5,2.5,372,6.89,41.1,6262,0
TK-019,2026-05-01,36.7,1.2,302,6.39,34.2,6435,1
TK-019,2026-05-31,33.7,3.6,248,6.73,30.1,1786,0
TK-019,2026-06-30,69.3,6.2,309,7.07,43.4,7190,2
TK-019,2026-07-30,25.0,4.3,339,6.49,29.9,6140,1
TK-019,2026-08-29,55.5,4.2,229,7.42,7.0,5943,0
TK-019,2026-09-28,85.3,3.4,265,6.71,29.1,7693,2
TK-019,2026-10-28,63.4,3.3,330,6.3,20.3,9886,0
TK-019,2026-11-27,61.6,2.1,360,6.78,50.2,8866,0
TK-020,2026-01-01,41.4,4.3,280,6.69,32.7,6370,1
TK-020,2026-01-31,51.1,2.4,290,6.7,44.5,9171,0
TK-020,2026-03-02,95.8,6.7,257,6.98,10.4,5655,1
TK-020,2026-04-01,46.0,1.7,337,6.4,40.6,5305,1
TK-020,2026-05-01,98.0,2.6,356,6.37,53.6,10398,1
TK-020,2026-05-31,40.8,3.6,249,7.61,40.1,7838,2
TK-020,2026-06-30,25.0,1.8,411,7.5,44.6,3619,1
TK-020,2026-07-30,83.3,0.8,349,7.07,23.5,2969,0
TK-020,2026-08-29,59.1,2.8,336,6.7,21.4,7500,0
TK-020,2026-09-28,59.5,2.7,358,6.09,35.2,7598,0
TK-020,2026-10-28,65.7,4.7,174,6.06,32.1,7582,1
TK-020,2026-11-27,56.7,4.3,433,7.17,24.1,2330,0
TK-021,2026-01-01,78.8,5.1,408,6.55,38.1,9751,0
TK-021,2026-01-31,49.2,3.0,417,6.98,11.2,8636,2
TK-021,2026-03-02,75.4,3.4,369,6.83,50.2,5348,0
TK-021,2026-04-01,65.2,4.6,215,6.36,2.0,7681,0
TK-021,2026-05-01,44.9,2.7,409,6.66,31.5,6851,1
TK-021,2026-05-31,73.6,2.3,334,7.42,33.9,4107,0
TK-021,2026-06-30,76.8,1.7,477,7.41,32.3,7993,1
TK-021,2026-07-30,77.2,2.7,371,7.34,19.6,6059,0
TK-021,2026-08-29,43.5,1.7,185,7.28,55.1,11163,1
TK-021,2026-09-28,78.0,5.4,308,7.0,2.0,8266,0
TK-021,2026-10-28,45.9,3.6,209,7.19,43.4,5642,1
TK-021,2026-11-27,26.2,2.9,297,6.25,34.8,6475,1
TK-022,2026-01-01,45.6,2.5,446,7.22,26.0,9147,1
TK-022,2026-01-31,65.6,3.5,307,7.15,16.3,8874,2
TK-022,2026-03-02,74.9,0.4,457,5.8,18.8,10163,1
TK-022,2026-04-01,38.6,1.7,442,6.09,44.9,7462,0
TK-022,2026-05-01,43.5,2.4,258,7.34,39.0,3302,1
TK-022,2026-05-31,49.5,5.2,228,7.67,27.5,4695,0
TK-022,2026-06-30,52.8,2.1,235,6.99,9.6,2149,1
TK-022,2026-07-30,32.5,2.2,268,6.56,58.0,7741,0
TK-022,2026-08-29,69.4,0.6,291,7.05,12.6,9870,1
TK-022,2026-09-28,59.8,2.4,364,6.66,23.9,7009,2
TK-022,2026-10-28,51.8,4.0,371,6.91,21.5,9591,1
TK-022,2026-11-27,59.5,3.5,502,6.35,39.5,2867,1
TK-023,2026-01-01,68.9,5.7,393,7.03,19.6,7677,2
TK-023,2026-01-31,50.9,2.9,367,6.6,15.9,4199,1
TK-023,2026-03-02,72.0,4.1,370,7.38,29.3,8580,1
TK-023,2026-04-01,63.4,2.5,549,6.75,18.0,8685,1
TK-023,2026-05-01,69.5,1.2,451,6.91,11.3,10571,1
TK-023,2026-05-31,42.2,6.0,409,6.95,51.9,7998,0
TK-023,2026-06-30,64.5,2.3,402,7.16,28.2,5625,2
TK-023,2026-07-30,63.7,1.3,217,7.2,2.0,8113,0
TK-023,2026-08-29,56.4,5.3,305,7.25,22.0,7884,1
TK-023,2026-09-28,56.7,4.8,260,7.08,41.8,9250,0
TK-023,2026-10-28,98.0,2.2,225,6.5,37.9,8844,0
TK-023,2026-11-27,44.8,4.5,239,7.47,70.9,8516,2
TK-024,2026-01-01,75.5,2.6,187,6.68,11.6,3982,0
TK-024,2026-01-31,69.9,3.9,322,6.87,42.5,7519,0
TK-024,2026-03-02,74.6,3.0,319,6.32,2.0,6946,1
TK-024,2026-04-01,54.7,1.4,346,6.97,2.0,5312,0
TK-024,2026-05-01,72.3,3.9,246,7.02,43.3,9542,0
TK-024,2026-05-31,56.6,2.4,392,7.04,37.4,7929,1
TK-024,2026-06-30,79.7,3.4,420,7.34,15.9,3079,2
TK-024,2026-07-30,69.6,0.7,285,7.3,23.8,6319,2
TK-024,2026-08-29,90.2,1.7,278,7.05,33.9,8840,1
TK-024,2026-09-28,68.6,4.0,326,6.98,29.6,8137,0
TK-024,2026-10-28,78.9,4.1,353,6.59,29.0,7529,0
TK-024,2026-11-27,98.0,2.5,388,7.43,29.5,13444,0
